Circuit,#Qubits,#Gates,#2Q Gates,#Depth,#QPUs,QPUs,Basis Gates,2Q Gate Names,net_type,backends,fidelity,Metrics,Static OEE,FGP-rOEE,WBCP,NAVI,NAVI Hybrid
QV,60,25086,5337,602,3,"[20, 20, 20]","['reset', 'id', 'sx', 'rzz', 'rx', 'cz', 'rz', 'x']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",epairs,3081.0,1078.0,1947.0,1971.0,1399.0
QV,60,25086,5337,602,3,"[20, 20, 20]","['reset', 'id', 'sx', 'rzz', 'rx', 'cz', 'rz', 'x']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",total_fidelity_loss,286.4565587522608,365.9715147638773,220.85667270466536,254.36897666798745,187.4164725573931
QV,60,25086,5337,602,3,"[20, 20, 20]","['reset', 'id', 'sx', 'rzz', 'rx', 'cz', 'rz', 'x']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",rgeo_mean_fid,0.9161834123707799,0.8404998531929093,0.9026761222519333,0.8616372645428273,0.8753360583062049
QV,60,25086,5337,602,3,"[20, 20, 20]","['reset', 'id', 'sx', 'rzz', 'rx', 'cz', 'rz', 'x']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",execution_time,16.747150421142578,97.31100249290466,20.16145896911621,186.1952829360962,287.25513672828674
QV,60,25086,5337,602,3,"[20, 20, 20]","['reset', 'id', 'sx', 'rzz', 'rx', 'cz', 'rz', 'x']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",total_fidelity_log_sum,-298.1482643465826,-370.27033994497026,-228.07804552060048,-261.83770210615694,-192.73076365055863
QV,60,25086,5337,602,3,"[20, 20, 20]","['reset', 'id', 'sx', 'rzz', 'rx', 'cz', 'rz', 'x']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",total_fidelity,3.2798501738433014e-130,1.56183283691532e-161,8.850409939590269e-100,1.9289937524439176e-114,1.9865195962624265e-84
QV,60,25086,5337,602,3,"[20, 20, 20]","['reset', 'id', 'sx', 'rzz', 'rx', 'cz', 'rz', 'x']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",remote_hops,3081.0,0.0,1333.0,333.0,431.0
QV,60,25086,5337,602,3,"[20, 20, 20]","['reset', 'id', 'sx', 'rzz', 'rx', 'cz', 'rz', 'x']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",remote_swaps,0.0,539.0,307.0,819.0,484.0
QV,60,25086,5337,602,3,"[20, 20, 20]","['reset', 'id', 'sx', 'rzz', 'rx', 'cz', 'rz', 'x']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",local_fidelity_loss,28.412859896805625,276.3348359375446,60.095314989213655,90.18979406565681,70.8294700975493
QV,60,25086,5337,602,3,"[20, 20, 20]","['reset', 'id', 'sx', 'rzz', 'rx', 'cz', 'rz', 'x']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",remote_fidelity_loss,258.04369885545515,89.6366788263327,160.7613577154517,164.17918260233066,116.58700245984377
